Pantun,Pemantun,Himpunan,Tema,Jenis,Markah
"para teruna kurus rupanya,
kalam sebentar terpanah jejaka,
flora dan fauna harus dijaga,
alam sekitar khazanah negara",nurzulaikha binti azman SMKA SHAMS,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",jagalah alam sekitar,19
"Terang malam bintang kejora,
Cahaya bersemi bulan berteman,
Indahnya alam bersama pelihara,
Hargai bumi khazanah berzaman.",HANAN NISA'_SMK TUNKU BESAR TAMPIN_TAMPIN,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Jagalah Bumi Kita/Jagalah Alam Sekitar,23
"Tumpahnya darah wira bangsa ,
Demi memperoleh kemerdekaan ,
Persekitaran dijaga hidup sentosa .
Agar hidup lebih aman .",JAHIZAHNJELEBU,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi","jagalah bumi, jagalah alam sekitar",16
"Kolam sangkar tepi terusan,
Tumbuh melata padi huma,
Alam sekitar pemberian tuhan,
Ayuh kita hargai bersama",NUR AFIQAH DAMIA BINTI MOHD AIZIL (JELEBU),Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",JAGALAH ALAM SAKITAR,21
"Waktu malam duduk bersendiri
Duduk ditepi batu pahat
Jagalah alam seperti diri
Agar bumi kekal sihat",Ahmad Khairin Zafran bin Mohamed Nizam SMKA SHAMS SEREMBAN 1,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Jagalah bumi kita Jagalah alam sekitar,19
"Pergi ke kedai membeli mangga,
Mangga dibeli enak sekali,
Alam sekitar mesti dijaga,
Agar bumi sentiasa harmoni

",Muhammad Nazmi Syazani bin Mohd Nashar ,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi","Jagalah Bumi Kita,Jagalah Alam Sekitar",20
"Sungguh indah bunga kemboja, 
Di bawah atap tepi halaman; 
Juadah sudah letak di meja, 
Sudilah santap tuan budiman.",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,24
"Kalau tuan pikat cemara, 
Buatlah bara bakar selasih; 
Sudilah tuan jamu selera, 
Hidangan mesra pengikat kasih. ",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,24
"Terbang sekawan si burung merbuk, 
Batang selasih di Tanjung Dara; 
Padamu tuan kami persembah, 
Santapan kasih juadah mesra. ",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,22
"Lebat rumbia di Sungai Kedah, 
Sayang senduduk di tepi muara; 
Penganan mulia terletak sudah, 
Samalah duduk menjamu selera. ",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,24
"Bukan rumput sebarang rumpun, 
Rumput penghias tepi halaman; 
Bukan jemput sebarang jemput, 
Jemput memohon kata aluan. ",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,18
"Duduk sekawan gadis jelita, 
Buat santapan untuk pahlawan; 
Tampillah tuan kami meminta, 
Madah ucapan kata aluan. ",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,23
"Sudilah tuan jalan berlapan, 
Jalan berlapan di malam kelam; 
Sudilah tuan beri ucapan, 
Kata aluan pemanis kalam. ",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,25
"Emas tempawan buatmu puteri, 
Busana indah buat rupawan; 
Sudilah tuan tampilkan diri, 
Bersama madah kata aluan.",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,21
"Jangan tertawan alpa duniawi, 
Hanya indah serupa mimpi; 
Duhai pahlawan ksatria pertiwi, 
Hulurkan madah kata perasmi. ",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,21
"Besar langit di tepi busut, 
Besar tak muat di dalam peti; 
Besar hajat kami menjemput, 
Besar niat di dalam hati. ",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,21
"Pergi ke kota beli selasih, 
Sayang si dara buat halwa; 
Berilah kata simpulan kasih, 
Sulamkan mesra satukan jiwa.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,24
"Terbang di awan burung jentayu, 
Kerana penat gugur ke bumi; 
Tampillah tuan kami merayu, 
Bersama amanat bekalan kami. ",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,23
"Duduk sekawan si burung unta, 
Tepi keramat di waktu malam; 
Pada mu tuan kami meminta, 
Kata azimat penutup kalam. ",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,24
"Terbang di awan burung jentayu, 
Di atas papan batang selisih; 
Tampillah tuan kami merayu, 
Bersama ucapan pengikat kasih. ",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,23
"Kalau tuan pikat kenari, 
Jangan patahkan batang jerami; 
Kepada tuan sembah diberi, 
Mohon rasmikan majlis kami.",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,23
"Daun semulur di pekan sari, 
Batang jerami rebah ke bumi; 
Madah dihulur sembah diberi, 
Kata perasmi hajatnya kami. ",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,25
"Terbang di awan burung jentayu, 
Di atas papan batang jerami; 
Tampillah tuan kami merayu, 
Bersama ucapan kata perasmi. ",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,23
"Di atas dahan burung tempua, 
Melihat rusa tepi perigi; 
Salam perpisahan untuk semua, 
Dilain masa bersua lagi. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,21
"Kalau pergi Tanjung Keramat, 
Anak manis jangan diangkat; 
Bersama kita memohon rahmat, 
Moga majlis mendapat berkat. ",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,22
"Bunga seroja di atas para, 
Jatuh ditimpa buah berangan; 
Andai kata tersilap bicara, 
Kemaafan jua kami pohonkan. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,20
"Dari Kedah ke pekan sari, 
Beli suasa di Kota Tinggi; 
Selesai sudah tugas diberi, 
Di lain masa bersua lagi.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,24
"Dari Rokan ke Indragiri, 
Membawa tinta ke Kuala Linggi; 
Baliklah tuan rehatkan diri, 
Esok kita bersua lagi. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,22
"Pohon berangan tempat bertemu, 
Girangnya rasa si anak dara; 
Baliklah tuan membawa ilmu, 
Binalah bangsa bangunkan negara. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,23
"Bunga dedap di atas para, 
Anak dusun pasang pelita; 
Kalau tersilap tutur bicara, 
Jemari disusun maaf dipinta. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,23
"Banyak keluk ke penarik, 
Keluk tumbuh pohon kuini; 
Nan elok bawalah balik, 
Nan tak elok tinggallah di sini. ",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,16
"Tetak buluh kajang sepuluh, 
Laksana dititing kias ibarat; 
Angkat tangan jemari sepuluh, 
Doa di pohon biar selamat. ",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,20
"Tetak buluh kajang sepuluh, 
Mari jolok sarang penyengat; 
Angkat tangan jemari sepuluh, 
Doa di pohon biar selamat.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,21
"Lebat kemiri pohonnya rendah, 
Dahan terikat tali perkasa; 
Sepuluh jari kami menadah, 
Mohon berkat yang Maha Esa. ",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,24
"Garam ada kicap pun ada, 
Sayang lada terlupa bagi; 
Pantun ada ucapan ada, 
Sayang tiada berdoa lagi. ",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,24
"Pohon beringin tepi keramat, 
Dengar siulan di ufuk barat; 
Kalau ingin hidup selamat, 
Buat bekalan untuk akhirat. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,24
"Betik muda buat halwa, 
Kelapa muda santan dirasa; 
Biar muda di dalam jiwa, 
Dari tua sebelum masa.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,19
"Timba suasa ditepi kali, 
Buat menyimbah si tuan puteri; 
Berputus asa jangan sekali, 
Jadikan tabah pakaian diri. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,24
"Apa guna siparang panjang, 
Kalau tidak dengan tujuan; 
Apa guna berumur panjang, 
Kalau tidak dengan amalan. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,23
"Pohon senduduk baru di tanam, 
Sayang mati di pijak pak tani; 
Dari duduk baik bersenam, 
Senang hati sihat jasmani. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,24
"Pintal kapas menjadi benang, 
Tenun benang menjadi sari; 
Barang yang lepas jangan dikenang, 
Kalau dikenang meracun diri. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,25
"Beli keladi di Pekan Lidup, 
Sayang rasa lemaknya kurang; 
Taburlah budi ketika hidup, 
Kelak jasa dikenang orang. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,23
"Tidak goyah pancang seribu, 
Tika masih badai menderu; 
Engkau ayah engkaulah ibu, 
Menumpang kasih mengubat rindu. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,22
"Pergi ke Nilai membeli jamu, 
Jamu rasa dari tenggara; 
Tidak ternilai jasa baktimu, 
Kepada bangsa juga negara. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,24
"Bukan gua sebarang gua, 
Gua penuh pusaka bonda; 
Bukan tua sebarang tua, 
Tua penuh ilmu di dada. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,25
"Anak dara ke Tanjung Batu, 
Janji bertemu di Teluk Bayu; 
Walau usia dimamah waktu, 
Cekal hatimu tak pernah layu.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,23
"Pohon sena tepi perigi, 
Tepi paya si pohon jambu; 
Hadirmu laksana suria pagi, 
Menyinar maya tak pernah jemu. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,22
"Curah serbat di atas lantai, 
Basah tikar lupa disidai; 
Dikau ibarat karang di pantai, 
Tak pernah gentar dipukul badai. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,23
"Bulan purnama ke pekan Kuah, 
Di tengah hari membeli ragi; 
Dirimu umpama nyiur bertuah, 
Padat sari harum mewangi. ",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,19
"Pilin jerami sawahnya asri,
sungguh cantik sungguhlah menawan;
Tujuan kami datang ke mari,
untuk memetik bunga di taman.",Warga Emas Pertapis,Himpunan Pantun Majlis Meminang Warga Emas Pertapi,Majlis Meminang,Ucapan,25
"Ayuh tadah di tengahari,
sudah bejat air di kandang;
Tuan sudah sampai ke mari,
apa hajat datang bertandang.",Warga Emas Pertapis,Himpunan Pantun Majlis Meminang Warga Emas Pertapis,Majlis Meminang,Ucapan,25
"Pergi ke pasar membeli ikan,
seekor ikan tenggiri batang;
Sudah lama saya nantikan,
namun dikau tak kunjung datang.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman ,Rindu,Ucapan,23
"Sungguh sedap air kelapa,
makan nasi berulam penggaga;
Bila masa kita nak jumpa?
Tunggulah kanda di pintu syurga.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman ,Rindu,Ucapan,21
"Waktu malam cuaca sejuk,
susah bangun tegak berdiri;
Engkau pergi kerana merajuk,
tinggalkan aku seorang diri.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman ,Rindu,Ucapan,23
"Beriring balam dengan merbah,
buah lakum dijolok jatuh,
Berkirim salam dengan sembah,
assalamualaikum warahmatullahi wabarakatuh",Warga Emas Pertapis,Himpunan Majlis Meminang Warga Emas Pertapis,Majlis Meminang,Ucapan,25
"Buluh galah tumbuh melata,
sayang terpijak kaca botol;
Kalaulah salah apa nak dikata,
lupakan saja terima yang betol.",Haji Sulaiman Ahmad,Himpunan Haji Sulaiman Ahmad,Maaf,Ingatan,25
"Gunung daik berkunang-kunang,
serawan jala tebar di tanjung;
Budi baik dikenang-kenang,
jasa pula dijunjung-junjung.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Budi Baik,Kenangan,25
"Baju layang sebidang dada,
tanda kurnia berawan larat;
Kasih sayang ayah dan bonda,
dari dunia sampai akhirat.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Kasih Sayang,Kenangan,25
"Dendang Melayu megah berdiri
Sungguh memikat menawan sukma
Terbilang Melayu Payung Negeri 
Teguh sepakat tujuan bersama
",YM Raja Muhamad Amin,Himpunan Pantun Yang Mulia Raja M. Amin,Melayu,Tujuan dan cita-cita,25
"Puteh berseh Pantai Selatan,
rase tenang pancing gelame;
Terima kaseh atas sambutan,
akan dikenang selame-lame.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Terima kaseh ,Ucapan,25
"Membeli selaseh bersame berangan,
selaseh dijemur di tepi perigi;
Terime kaseh atas kunjungan,
panjang umur berjumpe lagi.",Yang Mulia Raja M. Amin,Himpunan Pantun Yang Mulia Raja M. Amin,Terima Kaseh,Ucapan,25
"Datang kami hendak memanjat,
pohon yang kiri pohon kweni;
Datang kami membawa hajat,
Pinang putri di taman ini.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Hsjat,Meminang,25
"Buah cempedak di atas dahan,
gugur sebiji menghempap kambing;
kalau cakap perlahan-lahan,
biar senang kita berunding.",Hj Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Hati & Cakap,Jenaka,23
"Saratnya bija dalam perahu,
hendak taburkan di hujung desa;
Sosok sahaja sudah ku tahu,
Gerangan bukan orang biasa.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Watak,Pujian,25
"Sungai Perak memanglah sempit,
air mengalir tidak berhenti;
Hendak ku bawa hatiku sakit,
hendak ku tinggal tak sampai hati.",Hj Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Hati & Cakap,Jenaka,20
"Nenek menganyam tudung saji,
cucu pula menonton wayang;
Kalau kita rajin mengaji,
besar nanti senang sembahyang.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Tudung saji,Nasihat,23
"Nenek menganyam tudung saji,
cucu membuat layang-layang;
Kalau kita malas mengaji,
besar nanti susah sembahyang.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Tudung saji,Nasihat,23
"Memilin rami batangan padi, ,
ukas dan remis jala serawan;
Hidangan mi putih Hari Jadi,
Hujan gerimis menjadi kawan.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Suasana,Suasana,25
"Berelau-relau melebur timah,
Ditempa luk-luk beralat jari,
Berkilau-kilau memancar hikmah,
jajahan takluk alam bahari.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Sang Sapurba,Sejarah,25
"Di tepi bukit ada kali,
bersama-sama bawa parang;
Kuih bangkit buatan asli,
sudah lama digemar orang.",Warga Emas Pertapis,Program Berse6 Pantun Pertapis,Peribahasa,Nasihat,25
"Rumah kecil bertiang bakau,
nibung pula tiang di tengah;
Berjam-jam asyik urut pakau,
tangung jawab di lengah-lengah.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,24
"Naik basikal ke rumah Cik Awang,
di rumah Cik Awang makan kenduri;
Janganlah irikan hartanya orang,
syukur pada Allah harta sendiri.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,22
"Bersikat rambut menghadap cermin,
mari dibasuh di waktu petang;
Jikalau makan kurang vitamin,
segala penyakit lekas datang.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,24
"Hisap rokok tembakau Nyonya,
lepas hisap tak sedap rasa;
Kalau hidup tidak berpunya,
janganlah lekas putus asa.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,23
"Ikat mengkuang ketat-ketat,
tambat sampan dekat muara;
Masa tak buang rajin mencatat,
baru mempan jadi juara.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Rajin,Semangat,25
"Dalam semak berular tedung,
Jangan lupa membawa parang;
Bagai lembu dicucuk hidung,
Turut sahaja cakapnya orang.",Warga Emas Pertapis,Program Berse6 Pantun Pertapis,Peribahasa,Nasihat,22
"Masuk belukar cari mengkuang,
mengkuang pandan berumpun-rumpun;
masa sukar tiada yang luang,
memanglah padan meminta ampun.

",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Masa,Nasihat,25
"Hitam sakti bersampin tabur,
rebung jati beremas raya;
Jaga hati janganlah takabbur,
menjunjung pati seri budaya.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas ,Jaga Hati,Pertabalan,25
"Landai bukan sebarang landai,
sungguh landai di Telok Langka;
kedainya bukan sebarang kedai,
ini e-kedai pantun pusaka.",CG Karmin Abbas,Himpunan Pantun CG Karmin,E-Kedai pantun,Promosi,25
"Kalau patah sayap nan lama,
sibu-sibu henti berlegar ;
Kalau mentah lagilah atma,
bagai sumbu belum terbakar.",CG Karmin Abbas,Himpunan Pantun CG Karmin,Belum Matang,Nasihat,25
"Ikan selikur ikan cencaru,
berbeza nama sama ikannya;
Cepat bersyukur kala terharu,
berlama-lama dalam sujudnya.",CG Karmin Abbas ,Himpunan Pantun CG Karmin Abbas,Syukur,Ingatan,25
"Bukan ukas antara ukas,
tumbuh ukas menjadi karang;
Bukan nak lekas sebarang lekas,
nak lamar lekas anaknya orang.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Meminang,Gurauan,25
"Ramai orang pergi ke bukit,
ada pesta tari-menari;
Sedangkan lidah lagi tergigit,
inikan pula suami isteri.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,20
"Makan nasi sayurnya kacang,
bawah rumah banyak kerengga;
Bersama isteri duduk berbincang,
supaya aman rumah tangga.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,22
"Seberang parit gunakan titi,
seiring jalan dengan Cik Nyonya;
Sudah lama abang menanti,
Cantik manis tiada yang punya",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,22
"Sungguh enak santan kelapa,
masaknya gulai ikan parang;
Cantik manis anak siapa,
waktu petang jalan seorang.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Gadis,Gurauan,24
"Menebang-nebang pandan berduri,
mengkuang juga disebut orang;
Imbang-imbang ku buang iri,
hati lega merapat jurang.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Iri,Ingatan,25
"Satu di darat satu di laut,
di pasar nelayan terjumpa pula;
berpegang erat hati terpaut,
sambil melayan sepenuh rela.",CG Karmin Abbas,Himpunan Pantun CG Karmin,Kasih,Sayang,25
"Buah bacang kuat harumnya,
buah kweni lagilah merbak;
Naik tocang lewat batasnya,
bagai di sini kena tombak.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Melampau,Kesal,25
"Cuil tempoyak di atas kapal,
air dituang air ditaja;
Kalau koyak kenalah tampal,
jangan buang begitu saja.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Buat Baik,Nasihat,25
"Layarnya tua berbebat-bebat,
bukan Feringgi Bugis melelang;
Mohon doa para sahabat,
selamat pergi selamat pulang.",CG Karmin Abbas ,Himpunan Pantun CG Karmin ,Belayar,Mohon doa,25
"Perth City tiada tolok ganti,
duit genap akan bersua;
Esok lusa kembali pasti,
hendak inap seminggu dua.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Perth City,Pujian,25
"Pelam kuini manis rasanya,
di belah-belah buat tetamu;
Kalamku ini ikhlas niatnya,
awal Bismillah akhir berilmu.",CG Karmin Abbas,Himpunan Pantun Neosantara,Ilmu,Renungan,25
"Kalau bermukim pinggir muara,
nampak perahu berbinar-binar;
Intelek mustakim perangkat cara,
setelah tahu diri sebenar.",CG Karmin Abbas,Himpunan Pantun Neosantara,Intelek,Renungan,25
"Buah kundang bijinya ungu,
diperam orang buat jeruk;
Ramai orang berlagak dungu,
aksi bagai seekor beruk.",Warga Emas Pertapis,Program Pantun Warga Emas Pertapis,Dungu,Jenaka,23
"Buah binjai kelat rasanya,
dibuat sambal sangat enak;
Duhai aduhai lebih sayangnya,
kasihnya ibu terhadap anak.",Warga Emas Pertapis,Program Pantun Warga Emas pertapis,Kasih Ibu,Pujukan,24
"Dua tiga kucing berlari,
tidak makan perutnya kempis;
Saya gembira Cikgu  datang ke mari,
Mengajar pantun Ayah Bonda Pertapis.",Ayahanda Sulaiman Ahmad,Himpunan Pantun Ayahanda Sulaiman Ahmad,Gembira,Pujian,24
"Pucuk pauh tumbuhnya di batang,
dahan condong ke pokok kelapa;
dari jauh Cikguku datang,
Tulus ikhlas tidak terlupa.",Ayahanda Sulaiman Ahmad,Himpunan Pantun Ayahanda Sulaiman Ahmad,Tulus Ikhlas,Pujian,25
"Mentari merah andai masa,
nampak rata atas airan;
kerap berserah pada Yang Esa,
kelak kita mendapat ganjaran.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Berserah,Ingatan,25
"Ikan kelisa burung terkukur,
di banir redup menyimpan tongkat;
Setiap masa kita bersyukur,
supaya hidup melimpah berkat.",Warga Emas Pertapis,Penggemar Pantun,Bersyukur,Ucapan,25
"Memakai sigar di bulan kaamatan
Mari bertemu di pekan tambunan
Diam mendengar cari keberkatan
Dapat ilmu bekalan masa depan",,Himpunan Sepanggar Berpantun,,,22
"Jual kelupis di pasar sinsuran,
Beli empat untuk cik anis,
Berani tepis segala cabaran,
Janji dapat si gadis manis.",Syamsul Aysraf Ismail,Himpunan Sepanggar Berpantun,,,23
"Melati berbunga mengharum titi
Di tamanlah bunga bermekar ria
Indahnya berbunga di pagi hati
Hati berbunga, jiwa pun ceria",Rainah binti Kasi,Himpunan Sepanggar Berpantun,,,25
"Pak cik Lah memanah di sawah Rasa;
Merindui zaman dahulu kala;
Bertani padi dengan hati rasa,
Warisan moyang zaman purbakala.",Norsalam binti Awang Sulaiman,Himpunan Sepanggar Berpantun,,,23
"Anak-anak dara menumbuk pandan 
Membuat kuih hidangan kenduri
Ilmu yang baik jadikan teladan
Segala yang buruk letak ketepi",Nur Asmi Binti Sabli,Himpunan Sepanggar Berpantun,,,21
"Encik Muhammad membeli tairu,
Tairu dihantar rumah Cik wati;
Saya hormati semua guru,
Mengajar murid ikhlas di hati.",Ayahanada Sulaiman Ahmad,Penggemar Pantun,Hormat,Pujian,24
"Pulau Pandan jauh ke tengah,
Gunung daik bercabang tiga;
Hancur badan dikandung tanah,
budi baik dikenang juga",Pantun Lama,Pantun Lama,Budi,Nasihat,25
"Di waktu malam bulan mengambang,
air laut tidak bergelombang;
Jikalau adik sayangkan abang,
terimalah nasihat jangan bimbang.",Ayahanda Sulaiman Ahmad,Himpunan Pantun Ayahanda Sulaiman Ahmad,Sayang,Cinta,23
"Naik kolek mudiklah ke hulu,
bawak setangkai bunga kemboja;
Kalau adik nak pergi dahulu,
janganlah tunggu sampai ke senja.",Ayahanda Sulaiman Ahmad,Himpunan Pantun Ayahanda Sulaiman,Sabar,Nasihat,24
"Bungkus ubi taburlah ragi,
Peram sepenuh kasih-sayang;
Orang sabar tidaklah rugi,
bagai anjing dengan bebayang.",Warga Emas Pertapis,Penggemar Pantun,Sabar,Semangat,25
"Sudah semai elok dibaja,
kuning masak tuailah padi;
Jikalau kita tekun bekerja,
apapun niat akan menjadi.",Warga Emas Pertapis,Penggemar Pantun,Tekun,Semangat,24
"Di tepi kali saya menyinggah,
menghilang penat menahan jerat;
Orang nan tua janganlah disanggah,
agar selamat dunia akhirat.",Dewi sartika lubis,Penggemar Pantun,Akhirat ,Nasehat ,23
"Ikan kakap ikan kerapu,
Masak digulai sedap sangat,
Macam mana hati tak tersipu,
Melihat abang ganteng lah sangat.
",Reva Rahayu ,Penggemar Pantun,Hati,Remaja,23
"Jikalau bukan karena tinta,
buat apa ku gubah puisi;
Jikalau bukan karena cinta,
mengapa aku ada disini.",Yono Jaya,Penggemar Pantun,Cinta,Romantis,24
"Jikalau puan hendak berlayar,
Janganlah lupa siapkan bekal;
Jikalau puan rajin belajar,
Sudahlah pasti puan berakal.",Tuhawiyur Rohmana,Penggemar Pantun,Belajar,Nasehat,23
"Di atas pinggan ada cawan,
Di dalam cawan ada kopi;
Berbaik-baik kepada kawan,
Diminta tolong tiada tapi.",CG Karmin bin Abbas,Penggemar Pantun,Kawan,Nasihat,23
"Nampak budak memakai payung,
Ketika makan kencang kunyahnya;
Kalau tidak pecahkan ruyung,
Tidak akan dapat sagunya.",Warga Emas Pertapis,Program Pantun Pertapis,Pesanan,Nasihat,24
"Cuaca redup ke rumah ibadat,
Berhati-hati jangan karenah;
Semasa hidup dikandung adat,
Setelah mati dikandung tanah.",Warga Emas Pertapis,Program Pantun Pertapis,Pesanan,Nasihat,24
"Kalau pangan pilih yang enak,
Makan dengan santan kelapa;
Kecil jangan disangka anak,
Besar jangan disangka bapa.",Warga Emas Pertapis,Program Pantun Pertapis,Pesanan,Nasihat,25
"Ada orang menggali rebung,
sayang parang terkena batang;
Kerja baik bersambung-sambung,
kerja jahat mesti ditentang.",Warga Emas Pertapis,Penggemar Pantun,Buat Baik,Nasihat,23
"Hendak tanam tanam selasih,
tumbuh tunas air dijirus;
Kami ucapkan terima kasih,
dengan hati setulus-tulus.",Warga Emas Pertapis,Penggemar Pantun,Terima kasih,Ucapan,23
"Paku-pakis tumbuh melata,
rumpun bambu di tepi kali;
Kalau sungguh bagai dikata,
mati kita hanya sekali.",Warga Emas Pertapis,Penggemar Pantun,Insaf,Nasihat,23
"Kalau roboh Kota Melaka,
Papan di jawa saya serahkan;
Kalau sungguh bagai dikata,
Badan dan nyawa saya serahkan.",Pantun Lama,Penggemar Pantun,Semangat,Pantun Lama,20
"Berumah kecil rumah papan,
dibentang suri tikar mengkuang;
Sudah kenyang setelah makan,
barang lebih jangan dibuang.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,20
"Ambil angin atas jembatan,
sambil duduk di ambin kayu;
Karang pantun secara spontan,
nyanyikan pula mendayu-dayu.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,22
"Perahu pecah terus tenggelam,
naik rakit ke rumah Cik Siti;
Jangan berkhayal ke tengah malam,
kalau sakit susah sendiri.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,20
"Baik-baik mengail tenggiri,
jangan terkena ikan parang;
Baik-baik menjaga diri,
jangan menjadi hambanya orang.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,22
